_ga;GA1.2.1024583347.1729412736;.guru99.com;/;Mon Nov 24 00:25:37 PST 2025;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sun Oct 20 01:26:35 PDT 2024;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1169055862.1729412736;.guru99.com;/;Mon Oct 21 01:25:37 PDT 2024;false
